rank,store_id,store,zip,city,nearest_count,search_url_1,search_url_2,verification_status,verified_source_name,verified_source_url,verification_notes
20,742509,L & E GROCERY,11213,BROOKLYN,2,https://duckduckgo.com/?q=%22L%20%26%20E%20GROCERY%22%20%2211213%22%20weekly%20ad,https://duckduckgo.com/?q=%22L%20%26%20E%20GROCERY%22%20%2211213%22%20circular%20OR%20flyer,pending_manual_review,,,
21,709282,PAPA FIRO GROCERY,11217,BROOKLYN,2,https://duckduckgo.com/?q=%22PAPA%20FIRO%20GROCERY%22%20%2211217%22%20weekly%20ad,https://duckduckgo.com/?q=%22PAPA%20FIRO%20GROCERY%22%20%2211217%22%20circular%20OR%20flyer,pending_manual_review,,,
22,746466,JJ GOURMET GROCERY,11233,BROOKLYN,2,https://duckduckgo.com/?q=%22JJ%20GOURMET%20GROCERY%22%20%2211233%22%20weekly%20ad,https://duckduckgo.com/?q=%22JJ%20GOURMET%20GROCERY%22%20%2211233%22%20circular%20OR%20flyer,pending_manual_review,,,
23,717815,A Y FAMILY GROCERY,11432,JAMAICA,2,https://duckduckgo.com/?q=%22A%20Y%20FAMILY%20GROCERY%22%20%2211432%22%20weekly%20ad,https://duckduckgo.com/?q=%22A%20Y%20FAMILY%20GROCERY%22%20%2211432%22%20circular%20OR%20flyer,pending_manual_review,,,
24,722166,FAMOSA GROCERY,11433,JAMAICA,2,https://duckduckgo.com/?q=%22FAMOSA%20GROCERY%22%20%2211433%22%20weekly%20ad,https://duckduckgo.com/?q=%22FAMOSA%20GROCERY%22%20%2211433%22%20circular%20OR%20flyer,pending_manual_review,,,
25,730240,MIMI ECOWAS GROCERY STORE,11435,JAMAICA,2,https://duckduckgo.com/?q=%22MIMI%20ECOWAS%20GROCERY%20STORE%22%20%2211435%22%20weekly%20ad,https://duckduckgo.com/?q=%22MIMI%20ECOWAS%20GROCERY%20STORE%22%20%2211435%22%20circular%20OR%20flyer,pending_manual_review,,,
26,627543,47 PITT GROCERY,10002,NEW YORK,1,https://duckduckgo.com/?q=%2247%20PITT%20GROCERY%22%20%2210002%22%20weekly%20ad,https://duckduckgo.com/?q=%2247%20PITT%20GROCERY%22%20%2210002%22%20circular%20OR%20flyer,pending_manual_review,,,
27,765187,FU YUN GROCERY,10002,NEW YORK,1,https://duckduckgo.com/?q=%22FU%20YUN%20GROCERY%22%20%2210002%22%20weekly%20ad,https://duckduckgo.com/?q=%22FU%20YUN%20GROCERY%22%20%2210002%22%20circular%20OR%20flyer,pending_manual_review,,,
28,736151,HENG YUN GROCERY,10002,NEW YORK,1,https://duckduckgo.com/?q=%22HENG%20YUN%20GROCERY%22%20%2210002%22%20weekly%20ad,https://duckduckgo.com/?q=%22HENG%20YUN%20GROCERY%22%20%2210002%22%20circular%20OR%20flyer,pending_manual_review,,,
29,730092,MAYIMBE GROCERY,10002,NEW YORK,1,https://duckduckgo.com/?q=%22MAYIMBE%20GROCERY%22%20%2210002%22%20weekly%20ad,https://duckduckgo.com/?q=%22MAYIMBE%20GROCERY%22%20%2210002%22%20circular%20OR%20flyer,pending_manual_review,,,
30,620941,BANGKOK CENTER GROCERY,10013,NEW YORK,1,https://duckduckgo.com/?q=%22BANGKOK%20CENTER%20GROCERY%22%20%2210013%22%20weekly%20ad,https://duckduckgo.com/?q=%22BANGKOK%20CENTER%20GROCERY%22%20%2210013%22%20circular%20OR%20flyer,pending_manual_review,,,
31,624379,YEM SANALI GROCERY,10019,NEW YORK,1,https://duckduckgo.com/?q=%22YEM%20SANALI%20GROCERY%22%20%2210019%22%20weekly%20ad,https://duckduckgo.com/?q=%22YEM%20SANALI%20GROCERY%22%20%2210019%22%20circular%20OR%20flyer,pending_manual_review,,,
32,728357,EAST SIDE GROCERY,10021,NEW YORK,1,https://duckduckgo.com/?q=%22EAST%20SIDE%20GROCERY%22%20%2210021%22%20weekly%20ad,https://duckduckgo.com/?q=%22EAST%20SIDE%20GROCERY%22%20%2210021%22%20circular%20OR%20flyer,pending_manual_review,,,
33,629208,82ND STREET GROCERY,10024,NEW YORK,1,https://duckduckgo.com/?q=%2282ND%20STREET%20GROCERY%22%20%2210024%22%20weekly%20ad,https://duckduckgo.com/?q=%2282ND%20STREET%20GROCERY%22%20%2210024%22%20circular%20OR%20flyer,pending_manual_review,,,
34,628712,1517 NEW BANI GROCERY,10029,NEW YORK,1,https://duckduckgo.com/?q=%221517%20NEW%20BANI%20GROCERY%22%20%2210029%22%20weekly%20ad,https://duckduckgo.com/?q=%221517%20NEW%20BANI%20GROCERY%22%20%2210029%22%20circular%20OR%20flyer,pending_manual_review,,,
35,757970,GROCERY GUATEMAYA,10029,NEW YORK,1,https://duckduckgo.com/?q=%22GROCERY%20GUATEMAYA%22%20%2210029%22%20weekly%20ad,https://duckduckgo.com/?q=%22GROCERY%20GUATEMAYA%22%20%2210029%22%20circular%20OR%20flyer,pending_manual_review,,,
36,623301,L&O GROCERY,10029,NEW YORK,1,https://duckduckgo.com/?q=%22L%26O%20GROCERY%22%20%2210029%22%20weekly%20ad,https://duckduckgo.com/?q=%22L%26O%20GROCERY%22%20%2210029%22%20circular%20OR%20flyer,pending_manual_review,,,
37,628087,LA COSTENITA GROCERY,10029,NEW YORK,1,https://duckduckgo.com/?q=%22LA%20COSTENITA%20GROCERY%22%20%2210029%22%20weekly%20ad,https://duckduckgo.com/?q=%22LA%20COSTENITA%20GROCERY%22%20%2210029%22%20circular%20OR%20flyer,pending_manual_review,,,
38,726762,LA PALOMA CANDY & GROCERY,10029,NEW YORK,1,https://duckduckgo.com/?q=%22LA%20PALOMA%20CANDY%20%26%20GROCERY%22%20%2210029%22%20weekly%20ad,https://duckduckgo.com/?q=%22LA%20PALOMA%20CANDY%20%26%20GROCERY%22%20%2210029%22%20circular%20OR%20flyer,pending_manual_review,,,
39,759169,PAMELA GROCERY STORE,10029,NEW YORK,1,https://duckduckgo.com/?q=%22PAMELA%20GROCERY%20STORE%22%20%2210029%22%20weekly%20ad,https://duckduckgo.com/?q=%22PAMELA%20GROCERY%20STORE%22%20%2210029%22%20circular%20OR%20flyer,pending_manual_review,,,
40,734403,CJP SUPERMARKET,10034,NEW YORK,1,https://duckduckgo.com/?q=%22CJP%20SUPERMARKET%22%20%2210034%22%20weekly%20ad,https://duckduckgo.com/?q=%22CJP%20SUPERMARKET%22%20%2210034%22%20circular%20OR%20flyer,pending_manual_review,,,
41,730427,OUR COMMUNITY GROCERY,10035,NEW YORK,1,https://duckduckgo.com/?q=%22OUR%20COMMUNITY%20GROCERY%22%20%2210035%22%20weekly%20ad,https://duckduckgo.com/?q=%22OUR%20COMMUNITY%20GROCERY%22%20%2210035%22%20circular%20OR%20flyer,pending_manual_review,,,
42,730820,ALPER GROCERY,10301,STATEN ISLAND,1,https://duckduckgo.com/?q=%22ALPER%20GROCERY%22%20%2210301%22%20weekly%20ad,https://duckduckgo.com/?q=%22ALPER%20GROCERY%22%20%2210301%22%20circular%20OR%20flyer,pending_manual_review,,,
43,717198,TEJADA GROCERY STORE,10301,STATEN ISLAND,1,https://duckduckgo.com/?q=%22TEJADA%20GROCERY%20STORE%22%20%2210301%22%20weekly%20ad,https://duckduckgo.com/?q=%22TEJADA%20GROCERY%20STORE%22%20%2210301%22%20circular%20OR%20flyer,pending_manual_review,,,
44,733497,MARKET FRESH SUPERMARKET,10305,STATEN ISLAND,1,https://duckduckgo.com/?q=%22MARKET%20FRESH%20SUPERMARKET%22%20%2210305%22%20weekly%20ad,https://duckduckgo.com/?q=%22MARKET%20FRESH%20SUPERMARKET%22%20%2210305%22%20circular%20OR%20flyer,pending_manual_review,,,
45,759068,CAZARES GROCERY,10451,BRONX,1,https://duckduckgo.com/?q=%22CAZARES%20GROCERY%22%20%2210451%22%20weekly%20ad,https://duckduckgo.com/?q=%22CAZARES%20GROCERY%22%20%2210451%22%20circular%20OR%20flyer,pending_manual_review,,,
46,608702,180 PENA GROCERY,10452,BRONX,1,https://duckduckgo.com/?q=%22180%20PENA%20GROCERY%22%20%2210452%22%20weekly%20ad,https://duckduckgo.com/?q=%22180%20PENA%20GROCERY%22%20%2210452%22%20circular%20OR%20flyer,pending_manual_review,,,
47,708020,FEATHERBED LANE GROCERY,10452,BRONX,1,https://duckduckgo.com/?q=%22FEATHERBED%20LANE%20GROCERY%22%20%2210452%22%20weekly%20ad,https://duckduckgo.com/?q=%22FEATHERBED%20LANE%20GROCERY%22%20%2210452%22%20circular%20OR%20flyer,pending_manual_review,,,
48,719769,JULIAN GROCERY,10453,BRONX,1,https://duckduckgo.com/?q=%22JULIAN%20GROCERY%22%20%2210453%22%20weekly%20ad,https://duckduckgo.com/?q=%22JULIAN%20GROCERY%22%20%2210453%22%20circular%20OR%20flyer,pending_manual_review,,,
49,752066,362 GROCERY,10454,BRONX,1,https://duckduckgo.com/?q=%22362%20GROCERY%22%20%2210454%22%20weekly%20ad,https://duckduckgo.com/?q=%22362%20GROCERY%22%20%2210454%22%20circular%20OR%20flyer,pending_manual_review,,,
50,747695,TELLO GROCERY,10454,BRONX,1,https://duckduckgo.com/?q=%22TELLO%20GROCERY%22%20%2210454%22%20weekly%20ad,https://duckduckgo.com/?q=%22TELLO%20GROCERY%22%20%2210454%22%20circular%20OR%20flyer,pending_manual_review,,,
51,740227,D MI MUNECA GROCERY,10455,BRONX,1,https://duckduckgo.com/?q=%22D%20MI%20MUNECA%20GROCERY%22%20%2210455%22%20weekly%20ad,https://duckduckgo.com/?q=%22D%20MI%20MUNECA%20GROCERY%22%20%2210455%22%20circular%20OR%20flyer,pending_manual_review,,,
52,715201,735 SUPERMARKET,10456,BRONX,1,https://duckduckgo.com/?q=%22735%20SUPERMARKET%22%20%2210456%22%20weekly%20ad,https://duckduckgo.com/?q=%22735%20SUPERMARKET%22%20%2210456%22%20circular%20OR%20flyer,pending_manual_review,,,
53,728448,AYLIN GROCERY STORE,10456,BRONX,1,https://duckduckgo.com/?q=%22AYLIN%20GROCERY%20STORE%22%20%2210456%22%20weekly%20ad,https://duckduckgo.com/?q=%22AYLIN%20GROCERY%20STORE%22%20%2210456%22%20circular%20OR%20flyer,pending_manual_review,,,
54,600314,FRANCIS GROCERY,10456,BRONX,1,https://duckduckgo.com/?q=%22FRANCIS%20GROCERY%22%20%2210456%22%20weekly%20ad,https://duckduckgo.com/?q=%22FRANCIS%20GROCERY%22%20%2210456%22%20circular%20OR%20flyer,pending_manual_review,,,
55,731782,KADIJA SUPERMARKET,10456,BRONX,1,https://duckduckgo.com/?q=%22KADIJA%20SUPERMARKET%22%20%2210456%22%20weekly%20ad,https://duckduckgo.com/?q=%22KADIJA%20SUPERMARKET%22%20%2210456%22%20circular%20OR%20flyer,pending_manual_review,,,
56,764879,1 NEYMAR CANDY GROCERY,10459,BRONX,1,https://duckduckgo.com/?q=%221%20NEYMAR%20CANDY%20GROCERY%22%20%2210459%22%20weekly%20ad,https://duckduckgo.com/?q=%221%20NEYMAR%20CANDY%20GROCERY%22%20%2210459%22%20circular%20OR%20flyer,pending_manual_review,,,
57,754673,PERLA GROCERY,10459,BRONX,1,https://duckduckgo.com/?q=%22PERLA%20GROCERY%22%20%2210459%22%20weekly%20ad,https://duckduckgo.com/?q=%22PERLA%20GROCERY%22%20%2210459%22%20circular%20OR%20flyer,pending_manual_review,,,
58,740178,CACHEO GROCERY STORE,10460,BRONX,1,https://duckduckgo.com/?q=%22CACHEO%20GROCERY%20STORE%22%20%2210460%22%20weekly%20ad,https://duckduckgo.com/?q=%22CACHEO%20GROCERY%20STORE%22%20%2210460%22%20circular%20OR%20flyer,pending_manual_review,,,
59,761637,HOE CANDY GROCERY,10460,BRONX,1,https://duckduckgo.com/?q=%22HOE%20CANDY%20GROCERY%22%20%2210460%22%20weekly%20ad,https://duckduckgo.com/?q=%22HOE%20CANDY%20GROCERY%22%20%2210460%22%20circular%20OR%20flyer,pending_manual_review,,,
60,749891,JORDAN SUPERMARKET,10460,BRONX,1,https://duckduckgo.com/?q=%22JORDAN%20SUPERMARKET%22%20%2210460%22%20weekly%20ad,https://duckduckgo.com/?q=%22JORDAN%20SUPERMARKET%22%20%2210460%22%20circular%20OR%20flyer,pending_manual_review,,,
61,607283,TONY FRUITS & GROCERY,10460,BRONX,1,https://duckduckgo.com/?q=%22TONY%20FRUITS%20%26%20GROCERY%22%20%2210460%22%20weekly%20ad,https://duckduckgo.com/?q=%22TONY%20FRUITS%20%26%20GROCERY%22%20%2210460%22%20circular%20OR%20flyer,pending_manual_review,,,
62,605747,S&W SUPERMARKET,10465,BRONX,1,https://duckduckgo.com/?q=%22S%26W%20SUPERMARKET%22%20%2210465%22%20weekly%20ad,https://duckduckgo.com/?q=%22S%26W%20SUPERMARKET%22%20%2210465%22%20circular%20OR%20flyer,pending_manual_review,,,
63,768373,2490 GROCERY HOUSEWARE,10469,BRONX,1,https://duckduckgo.com/?q=%222490%20GROCERY%20HOUSEWARE%22%20%2210469%22%20weekly%20ad,https://duckduckgo.com/?q=%222490%20GROCERY%20HOUSEWARE%22%20%2210469%22%20circular%20OR%20flyer,pending_manual_review,,,
64,766017,1203 WEST INDIAN GROCERY,10472,BRONX,1,https://duckduckgo.com/?q=%221203%20WEST%20INDIAN%20GROCERY%22%20%2210472%22%20weekly%20ad,https://duckduckgo.com/?q=%221203%20WEST%20INDIAN%20GROCERY%22%20%2210472%22%20circular%20OR%20flyer,pending_manual_review,,,
65,736203,1537 GROCERY,10472,BRONX,1,https://duckduckgo.com/?q=%221537%20GROCERY%22%20%2210472%22%20weekly%20ad,https://duckduckgo.com/?q=%221537%20GROCERY%22%20%2210472%22%20circular%20OR%20flyer,pending_manual_review,,,
66,741856,AGRAMONTE GROCERY STORE,10472,BRONX,1,https://duckduckgo.com/?q=%22AGRAMONTE%20GROCERY%20STORE%22%20%2210472%22%20weekly%20ad,https://duckduckgo.com/?q=%22AGRAMONTE%20GROCERY%20STORE%22%20%2210472%22%20circular%20OR%20flyer,pending_manual_review,,,
67,724428,NEW MEXICAN FRUITS & GROCERY,10472,BRONX,1,https://duckduckgo.com/?q=%22NEW%20MEXICAN%20FRUITS%20%26%20GROCERY%22%20%2210472%22%20weekly%20ad,https://duckduckgo.com/?q=%22NEW%20MEXICAN%20FRUITS%20%26%20GROCERY%22%20%2210472%22%20circular%20OR%20flyer,pending_manual_review,,,
68,606667,MAMA FIFI GROCERY,10473,BRONX,1,https://duckduckgo.com/?q=%22MAMA%20FIFI%20GROCERY%22%20%2210473%22%20weekly%20ad,https://duckduckgo.com/?q=%22MAMA%20FIFI%20GROCERY%22%20%2210473%22%20circular%20OR%20flyer,pending_manual_review,,,
69,718789,CT GROCERY NY,10474,BRONX,1,https://duckduckgo.com/?q=%22CT%20GROCERY%20NY%22%20%2210474%22%20weekly%20ad,https://duckduckgo.com/?q=%22CT%20GROCERY%20NY%22%20%2210474%22%20circular%20OR%20flyer,pending_manual_review,,,
70,728723,MARY'S GROCERY AND TAQUERIA,11102,ASTORIA,1,https://duckduckgo.com/?q=%22MARY%27S%20GROCERY%20AND%20TAQUERIA%22%20%2211102%22%20weekly%20ad,https://duckduckgo.com/?q=%22MARY%27S%20GROCERY%20AND%20TAQUERIA%22%20%2211102%22%20circular%20OR%20flyer,pending_manual_review,,,
71,764985,A&C WENDY GROCERY,11103,ASTORIA,1,https://duckduckgo.com/?q=%22A%26C%20WENDY%20GROCERY%22%20%2211103%22%20weekly%20ad,https://duckduckgo.com/?q=%22A%26C%20WENDY%20GROCERY%22%20%2211103%22%20circular%20OR%20flyer,pending_manual_review,,,
72,703469,GREENFRESH SUPERMARKET,11205,BROOKLYN,1,https://duckduckgo.com/?q=%22GREENFRESH%20SUPERMARKET%22%20%2211205%22%20weekly%20ad,https://duckduckgo.com/?q=%22GREENFRESH%20SUPERMARKET%22%20%2211205%22%20circular%20OR%20flyer,pending_manual_review,,,
73,613343,VILLA TAPIA GROCERY NY,11205,BROOKLYN,1,https://duckduckgo.com/?q=%22VILLA%20TAPIA%20GROCERY%20NY%22%20%2211205%22%20weekly%20ad,https://duckduckgo.com/?q=%22VILLA%20TAPIA%20GROCERY%20NY%22%20%2211205%22%20circular%20OR%20flyer,pending_manual_review,,,
74,703442,GROCERY & MEAT MARKET,11206,BROOKLYN,1,https://duckduckgo.com/?q=%22GROCERY%20%26%20MEAT%20MARKET%22%20%2211206%22%20weekly%20ad,https://duckduckgo.com/?q=%22GROCERY%20%26%20MEAT%20MARKET%22%20%2211206%22%20circular%20OR%20flyer,pending_manual_review,,,
75,708221,LA UNION FRUIT AND GROCERY,11206,BROOKLYN,1,https://duckduckgo.com/?q=%22LA%20UNION%20FRUIT%20AND%20GROCERY%22%20%2211206%22%20weekly%20ad,https://duckduckgo.com/?q=%22LA%20UNION%20FRUIT%20AND%20GROCERY%22%20%2211206%22%20circular%20OR%20flyer,pending_manual_review,,,
76,616599,G&R GROCERY STORE,11207,BROOKLYN,1,https://duckduckgo.com/?q=%22G%26R%20GROCERY%20STORE%22%20%2211207%22%20weekly%20ad,https://duckduckgo.com/?q=%22G%26R%20GROCERY%20STORE%22%20%2211207%22%20circular%20OR%20flyer,pending_manual_review,,,
77,619352,MARIEN GROCERY,11207,BROOKLYN,1,https://duckduckgo.com/?q=%22MARIEN%20GROCERY%22%20%2211207%22%20weekly%20ad,https://duckduckgo.com/?q=%22MARIEN%20GROCERY%22%20%2211207%22%20circular%20OR%20flyer,pending_manual_review,,,
78,735679,1149 YAMASA GROCERY,11208,BROOKLYN,1,https://duckduckgo.com/?q=%221149%20YAMASA%20GROCERY%22%20%2211208%22%20weekly%20ad,https://duckduckgo.com/?q=%221149%20YAMASA%20GROCERY%22%20%2211208%22%20circular%20OR%20flyer,pending_manual_review,,,
79,619832,LUNA GROCERY STORE,11208,BROOKLYN,1,https://duckduckgo.com/?q=%22LUNA%20GROCERY%20STORE%22%20%2211208%22%20weekly%20ad,https://duckduckgo.com/?q=%22LUNA%20GROCERY%20STORE%22%20%2211208%22%20circular%20OR%20flyer,pending_manual_review,,,
80,751172,D&J GROCERY SPANISH FOOD INC,11211,BROOKLYN,1,https://duckduckgo.com/?q=%22D%26J%20GROCERY%20SPANISH%20FOOD%20INC%22%20%2211211%22%20weekly%20ad,https://duckduckgo.com/?q=%22D%26J%20GROCERY%20SPANISH%20FOOD%20INC%22%20%2211211%22%20circular%20OR%20flyer,pending_manual_review,,,
81,758652,RODRIGUEZ FAMILY GROCERY,11212,BROOKLYN,1,https://duckduckgo.com/?q=%22RODRIGUEZ%20FAMILY%20GROCERY%22%20%2211212%22%20weekly%20ad,https://duckduckgo.com/?q=%22RODRIGUEZ%20FAMILY%20GROCERY%22%20%2211212%22%20circular%20OR%20flyer,pending_manual_review,,,
82,729959,G 200 GROCERY,11217,BROOKLYN,1,https://duckduckgo.com/?q=%22G%20200%20GROCERY%22%20%2211217%22%20weekly%20ad,https://duckduckgo.com/?q=%22G%20200%20GROCERY%22%20%2211217%22%20circular%20OR%20flyer,pending_manual_review,,,
83,670753,H&I GROCERY,11223,BROOKLYN,1,https://duckduckgo.com/?q=%22H%26I%20GROCERY%22%20%2211223%22%20weekly%20ad,https://duckduckgo.com/?q=%22H%26I%20GROCERY%22%20%2211223%22%20circular%20OR%20flyer,pending_manual_review,,,
84,744650,FOOD WORLD SUPERMARKET,11236,BROOKLYN,1,https://duckduckgo.com/?q=%22FOOD%20WORLD%20SUPERMARKET%22%20%2211236%22%20weekly%20ad,https://duckduckgo.com/?q=%22FOOD%20WORLD%20SUPERMARKET%22%20%2211236%22%20circular%20OR%20flyer,pending_manual_review,,,
85,612209,BED-ROSS GROCERY,11249,BROOKLYN,1,https://duckduckgo.com/?q=%22BED-ROSS%20GROCERY%22%20%2211249%22%20weekly%20ad,https://duckduckgo.com/?q=%22BED-ROSS%20GROCERY%22%20%2211249%22%20circular%20OR%20flyer,pending_manual_review,,,
86,762422,CLOUD GROCERY,11354,FLUSHING,1,https://duckduckgo.com/?q=%22CLOUD%20GROCERY%22%20%2211354%22%20weekly%20ad,https://duckduckgo.com/?q=%22CLOUD%20GROCERY%22%20%2211354%22%20circular%20OR%20flyer,pending_manual_review,,,
87,735994,KW SUPERMARKET,11354,FLUSHING,1,https://duckduckgo.com/?q=%22KW%20SUPERMARKET%22%20%2211354%22%20weekly%20ad,https://duckduckgo.com/?q=%22KW%20SUPERMARKET%22%20%2211354%22%20circular%20OR%20flyer,pending_manual_review,,,
88,760619,41 AVE ASIAN GROCERY STORE,11355,FLUSHING,1,https://duckduckgo.com/?q=%2241%20AVE%20ASIAN%20GROCERY%20STORE%22%20%2211355%22%20weekly%20ad,https://duckduckgo.com/?q=%2241%20AVE%20ASIAN%20GROCERY%20STORE%22%20%2211355%22%20circular%20OR%20flyer,pending_manual_review,,,
89,753774,EAT FAIR GROCERY,11356,COLLEGE POINT,1,https://duckduckgo.com/?q=%22EAT%20FAIR%20GROCERY%22%20%2211356%22%20weekly%20ad,https://duckduckgo.com/?q=%22EAT%20FAIR%20GROCERY%22%20%2211356%22%20circular%20OR%20flyer,pending_manual_review,,,
90,749972,A&E SUPERMARKET,11412,SAINT ALBANS,1,https://duckduckgo.com/?q=%22A%26E%20SUPERMARKET%22%20%2211412%22%20weekly%20ad,https://duckduckgo.com/?q=%22A%26E%20SUPERMARKET%22%20%2211412%22%20circular%20OR%20flyer,pending_manual_review,,,
91,631834,KARINA GROCERY,11423,HOLLIS,1,https://duckduckgo.com/?q=%22KARINA%20GROCERY%22%20%2211423%22%20weekly%20ad,https://duckduckgo.com/?q=%22KARINA%20GROCERY%22%20%2211423%22%20circular%20OR%20flyer,pending_manual_review,,,
92,722124,GRAY GROCERY,11432,JAMAICA,1,https://duckduckgo.com/?q=%22GRAY%20GROCERY%22%20%2211432%22%20weekly%20ad,https://duckduckgo.com/?q=%22GRAY%20GROCERY%22%20%2211432%22%20circular%20OR%20flyer,pending_manual_review,,,
